cuestionario;factor;zona;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_3;p7_3_1;p7_3_2;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p12_2;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_2;p24;p25;p25_1;p25_2;p25_3;p25_4;p26;p27;p27_1;p27_2;p27_3;p27_4;p27_5;p27_6;p27_7;p27_8;p27_9;p27_10;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
206;425.919.659;Urbana Oriente;Presencial en hogares;Femenino;Si;34;25 - 34 años;No;Si;Si;Si;Cauca;López de Micai;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 3;Entre 100 y 300 mil pesos;Si;Usted;Ninguna dificultad;;;No;No;0;;1;1;Transporte público colectivo busetas;;;;;;;;;;;;5;30;30;10;;Comuna 15;Cali;Otros;Centros Comerciales;Uno;Entre 1 y 3 km;A realizar compras;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Dificultad para encontrar parqueadero;;;;;;;;;;;;4;4;4;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Taxi;;Costos asociados;;Incineración de residuos;Alto;Mio Cable;;Automóvil;;Costos altos;;Muy importante;Muy importante;No;Si;Si;Si;Si;No;No;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Mujer;No;34.058.608;-765.062.623;0;100
207;3.555.843.024;Urbana Oriente;Presencial en hogares;Masculino;Si;71;65 - 80 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Básica primaria completa;No;Es pensionado(a);;;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;0;;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;15;;;;;;Comuna 7;Cali;Comuna 14;;Uno;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Congestión de tráfico;;;;;;;;;;;;Muy importante;3;4;4;2;Nada Importante;Nada Importante;Muy importante;4;Automóvil en plataforma (Ejemplo:Uber);;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Muy alto;Mio Cable;;Campero/ Camioneta (SUV);;Costos altos;;3;3;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;34.464.983;-764.884.221;975.91;8.317
208;425.919.659;Urbana Oriente;Presencial en hogares;Femenino;Si;43;35 - 44 años;No;Si;Si;Si;Cauca;Silvia;;;Indígena;Si;Básica primaria completa;No;Trabajar;Empleado(a) doméstico;De lunes a sábado;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Caminata;;;;;;;;;;;;;;;;20;Comuna 7;Cali;Comuna 7;;Uno;Menos de 1 km;Ir a trabajar;;;Nada Satisfecho;La distancia que debe recorrer;;;;;Las condiciones de incomodidad;Congestión de tráfico;;;;;;;;;;;;3;2;2;4;Nada Importante;Nada Importante;Nada Importante;3;2;Caminata;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Bajo;Camión liviano;;Campero/ Camioneta (SUV);;Inseguridad;;Muy importante;Muy importante;No;No;Si;No;No;No;Si;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Mujer;No;34.464.015;-764.869.927;9.807.999.878;14.711
209;425.919.659;Urbana Oriente;Presencial en hogares;Femenino;Si;80;65 - 80 años;No;Si;Si;Si;Nariño;Tumaco;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Básica primaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 3;No sabe/no responde;No;;Ninguna dificultad;;;No;No;0;;0;;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;30;;;;;;Comuna 7;Cali;Comuna 7;;No salgo del hogar con frecuencia;Menos de 1 km;Ir a trabajar;;;Muy Satisfecho;La percepción de seguridad;;;;;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Taxi;;Nivel de inseguridad;;Los vehículos que circulan en la ciudad;Alto;Van/Camioneta con platón;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No sabe;;;;;;;;Si;Mujer;No;34.477.947;-764.848.032;941.4;8.6
210;3.555.843.024;Urbana Oriente;Presencial en hogares;Masculino;Si;64;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Básica primaria completa;No;Es pensionado(a);;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si, auto;0;;0;;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;15;;;;;;Comuna 7;Cali;Comuna 12;;No salgo del hogar con frecuencia;Más de 12 km;A visitar a alguien (familiar o amigo);;;Nada Satisfecho;La comodidad (confort);;;;;El tiempo de espera;Congestión de tráfico;;;;;;;;;;;;Nada Importante;Nada Importante;Muy importante;3;Nada Importante;Nada Importante;Muy importante;Nada Importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Muy alto;Transporte público colectivo busetas;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;Si;No;No;No sabe;;Entre el paradero y la casa;;;No tomó ninguna acción;;;Si;Hombre;No;34.481.107;-764.851.225;9.802.999.878;11.926
211;3.726.943.109;Centro Ampliado;Presencial en hogares;Masculino;Si;79;65 - 80 años;No;Si;Si;Si;Valle;Palmira;;;Indígena;Si;Básica primaria completa;No;Otra actividad;;;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;Modelos anteriores a 2005;Cali;Conductor;Nunca;;20;;;;;;Comuna 12;Cali;Comuna 13;;No salgo del hogar con frecuencia;Menos de 1 km;Ir a trabajar;;;Totalmente satisfecho;Condiciones de salud propias o de un familiar;;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Costos altos;;;;;;;;;;;;3;Nada Importante;Muy importante;Muy importante;Muy importante;3;2;2;3;Taxi;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Moto 2T;;Moto 4T;;Falta de infraestructura (andenes, ciclorutas, etc.);;3;Nada Importante;Si;Si;Si;Si;Si;Si;No sabe;Si;Ninguno;Otro;;Ninguno;No tomó ninguna acción;;;No;Hombre;No;34.321.142;-765.073.071;9.832.000.122;4.58
212;3.555.843.024;Urbana Oriente;Presencial en hogares;Masculino;Si;74;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Sola(o);Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Bicitaxi sin motor;;;;;;;;;;;45;;;;;;Comuna 13;Cali;Comuna 17;;Cuatro o más;Entre 4 y 7 km;Ir a trabajar;;;Totalmente satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;Nada Importante;Muy importante;4;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Moto 2T;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Nulo;Moto 2T;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;Si;No;No;No;No;;En los paraderos o estaciones;;;No tomó ninguna acción;;;Si;Hombre;No;34.242.703;-764.995.625;9.807.999.878;3.76
213;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;51;45 - 54 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Técnico profesional;No;Está desempleado;;;;;;;;;;Sola(o);Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;No;0;;0;;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;30;;;;;;Comuna 13;Cali;Comuna 8;;Dos;Menos de 1 km;A realizar actividades recreativas y culturales (ir a cine, a un concierto, una presentación etc);;;Satisfecho;La comodidad (confort);;;;;La vulnerabilidad frente accidentes de tránsito;Tiempos de viaje largos o inciertos;;;;;;;;;;;;3;3;4;3;2;Nada Importante;Nada Importante;3;2;Moto 4T;;Costos asociados;;Empresas manufactureras;Bajo;Moto 2T;;Bicitaxi sin motor;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.247.874;-764.988.154;9.797.999.878;4.816
214;5.079.884.185;Centro Ampliado;Presencial en hogares;Femenino;Si;32;25 - 34 años;No;Si;Si;No;;;Venezuela;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;No;3;2;2;2;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;10;;;;;;Comuna 11;Cali;Comuna 19;;No salgo del hogar con frecuencia;Menos de 1 km;A realizar algún trámite personal;;;Muy Satisfecho;El tiempo de viaje;;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Moto 4T;;Costos asociados;;Empresas manufactureras;Moderado;Camión liviano;;Van/Camioneta con platón;;Inseguridad;;4;4;No;No;Si;No;No;No;No;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Mujer;No;34.234.578;-7.650.983;9.822.000.122;4.083
215;3.726.943.109;Centro Ampliado;Presencial en hogares;Masculino;Si;21;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;No sabe/ No responde;No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;Si;Usted;Dificultad para ver, aún utilizando lentes;;;Sí, motocicleta;No;0;;0;;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;15;;;;;;Comuna 9;Cali;Comuna 18;;Uno;Entre 1 y 3 km;A visitar a alguien (familiar o amigo);;;Totalmente satisfecho;La percepción de seguridad;La comodidad (confort);;;;El tiempo de espera;Congestión de tráfico;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;Muy importante;Muy importante;3;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;2;Moto 2T;;Nivel de inseguridad;;Los vehículos que circulan en la ciudad;Alto;Mio Cable;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;34.385.538;-765.263.311;9.963.999.634;18.063
216;5.079.884.185;Centro Ampliado;Presencial en hogares;Femenino;Si;53;45 - 54 años;No;Si;Si;Si;Chocó;Jurado;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;Si;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;1;1;1;1;Transporte público (MIO);;;;;;;;;;;;5;120;40;3;;Comuna 9;Cali;Comuna 4;;No salgo del hogar con frecuencia;Entre 1 y 3 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Ser víctima de robo o atraco;Costos altos;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Bajo;Mio Cable;;Transporte público colectivo busetas;;Inseguridad;;Nada Importante;Nada Importante;No;No;Si;No;No;No;No;No;;Entre el paradero y la casa;En los paraderos o estaciones;;No tomó ninguna acción;;;No;Mujer;No;34.368.369;-765.281.328;996;13.208
217;9.326.800.378;Ladera;Presencial en hogares;Femenino;Si;54;45 - 54 años;No;Si;Si;No;;;Venezuela;;Indígena;Si;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;5;120;120;5;;Comuna 1;Cali;Comuna 2;;Dos;Entre 1 y 3 km;A realizar compras;;;Muy Satisfecho;La comodidad (confort);;;;;Nada me disgusta;Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Bajo;Transporte público colectivo busetas;;Automóvil;;Inseguridad;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;Si;34.587.822;-765.499.755;1068;11.889
218;3.626.675.743;Ladera;Presencial en hogares;Masculino;Si;60;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Sola(o);Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;1;2;Moto 4T;;125 cc;;Gasolina corriente;;2018;Cali;Conductor;Nunca;;120;;;;;;Comuna 1;Otro municipio;Comuna 4;;Tres;Entre 1 y 3 km;Ir a trabajar;;;Muy Satisfecho;La percepción de seguridad;;;;;La vulnerabilidad frente accidentes de tránsito;Tiempos de viaje largos o inciertos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Campero/ Camioneta (SUV);;Campero/ Camioneta (SUV);;Inseguridad;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.574.204;-765.501.406;1.060.099.976;11.492
219;6.034.205.711;Ladera;Presencial en hogares;Masculino;Si;26;25 - 34 años;No;Si;Si;Si;Nariño;Unión;;;Ninguna de las anteriores;Si;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 1;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;2;2;2;2;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2024;Cali;Conductor;Algunas veces;2;15;;;;;;Comuna 1;Cali;Comuna 4;;Dos;Entre 4 y 7 km;A realizar compras;;;Muy Satisfecho;El tiempo de viaje;;;;;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Campero/ Camioneta (SUV);;Guala o pirata;;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.585.556;-765.508.475;1.061.699.951;11.509
220;2159.55;Urbana Corredor;Presencial en hogares;Masculino;Si;31;25 - 34 años;No;Si;Si;Si;Valle;Cerrito;;;Indígena;No;Tecnológico;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Sola(o);Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2013;Otro municipio;Conductor;Nunca;;7;;;;;;Comuna 17;Cali;Comuna 18;;Uno;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Nada me disgusta;Tiempos de viaje largos o inciertos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Alto;Mio Cable;;Automóvil;;Otro. ¿Cuál?;El tiempo;Nada Importante;Nada Importante;No;No;No;Si;No;No;No;No;;Entre el paradero y la casa;;;No tomó ninguna acción;;;Si;Hombre;Si;3.385.574;-765.227.246;9.903.999.634;17.753
221;2.586.719.062;Urbana Corredor;Presencial en hogares;Femenino;Si;39;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Tecnológico;No;Trabajar;Patrón o empleador;De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;2;2;Moto 4T;;125 cc;;Gasolina corriente;;2022;Otro municipio;Conductor;Algunas veces;1;560;;;;;;Comuna 17;Cali;Comuna 22;;Cuatro o más;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El tiempo de viaje;;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;Multitud de personas;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Mio Cable;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;Si;33.848.221;-765.234.148;9.923.999.634;11.167
222;2.586.719.062;Urbana Corredor;Presencial en hogares;Femenino;Si;22;18 - 24 años;No;Si;Si;No;;;Venezuela;;Indígena;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;Miércoles;Viernes;Sábado;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Menos de 100 mil pesos;No;;Dificultad temporal para moverse;;;Sí, auto y motocicleta;No;1;1;0;;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;2018;Cali;Acompañante (pasajero o parrilero);Algunas veces;1;240;;;;;;Comuna 17;Cali;Comuna 7;;Cuatro o más;Menos de 1 km;Ir a trabajar;;;Muy Satisfecho;La distancia que debe recorrer;;;;;La vulnerabilidad frente accidentes de tránsito;Tiempos de viaje largos o inciertos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Automóvil;;No hay cobertura del modo de transporte;;Los vehículos que circulan en la ciudad;Moderado;Mio Cable;;Campero/ Camioneta (SUV);;Otro. ¿Cuál?;El tiempo;Muy importante;Muy importante;Si;Si;Si;No;Si;No;No;No;;Mientras caminaba;;;No tomó ninguna acción;;;Si;Mujer;Si;33.822.346;-765.229.332;990.5;87.1
223;2159.55;Urbana Corredor;Presencial en hogares;Masculino;Si;37;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;Si;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 4;Menos de 100 mil pesos;Si;Una mujer de la familia que vive con usted;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;Más de 3;2;Moto 4T;;150 cc;;Gasolina corriente;;2012;Cali;Conductor;Nunca;;680;;;;;;Comuna 17;Cali;Comuna 17;;Cuatro o más;Más de 12 km;Ir a estudiar;;;Totalmente satisfecho;La comodidad (confort);El tiempo de viaje;;;;La falta de autonomía o control sobre el viaje;Exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de espera largos o inciertos;Congestión de tráfico;Multitud de personas;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Mio Cable;;Guala o pirata;;Costos altos;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;33.824.652;-765.220.599;9.907.000.122;6.78
224;3.726.943.109;Centro Ampliado;Presencial en hogares;Masculino;Si;77;65 - 80 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Es pensionado(a);;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;No;;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);Dificultad temporal para moverse;;No;No;0;;0;;Automóvil;No sabe / No responde;;;No sabe/no responde;;No sabe / No responde - NO LEA;No sabe/no responde;Acompañante (pasajero o parrilero);Algunas veces;1;30;;;;;;Comuna 9;Cali;Otros;Los Cámbulos;Uno;Más de 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Totalmente satisfecho;Otro;;;;;El tiempo de viaje;Congestión de tráfico;Esfuerzo físico agotador;;;;;;;;;;;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Moderado;Camión pesado;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;Si;No;No;No;Si;No;No;No;;En un bus de transporte intermunicipal;;;No tomó ninguna acción;;;Si;Hombre;No;34.388.316;-765.271.229;1.005.491.089;4.516
225;5.079.884.185;Centro Ampliado;Presencial en hogares;Femenino;Si;78;65 - 80 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;Si;Secundaria incompleta;Si;Está desempleado;;;;;;;;;;Con sus hijos y otros familiares;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;1;1;2;1;Caminata;;;;;;;;;;;;;;;;30;Comuna 9;Cali;Comuna 9;;Dos;Menos de 1 km;A realizar actividades físicas y/o deportivas (ir al gym, trotar, entrenar);;;Muy Satisfecho;La autonomía o control sobre el viaje;;;;;Nada me disgusta;Tiempos de espera largos o inciertos;;;;;;;;;;;;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;4;Caminata;;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Alto;Otro;Correr;Automóvil;;Condiciones climáticas;;3;Muy importante;Si;Si;No;Si;Si;Si;Si;No;;En los paraderos o estaciones;;;No tomó ninguna acción;;;Si;Mujer;No;3.437.905;-765.266.988;101.083.667;4.738
