cuestionario;factor;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19_1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_1_1;p23_2;p23_2_1;p23_2_2;p23_2_3;p24;p25;p25_1;p26;p27;p27_1;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
268;5.166.263.292;Presencial en hogares;Femenino;Si;30;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;1;0;Moto 4T;;125 cc;;Gasolina corriente;;2025;No sabe/no responde;Acompañante (pasajero o parrilero);Siempre;1;15;;;;;;Medellín;Comuna 2 - Santa Cruz;Medellín;Comuna 4 - Aranjuez;;Uno;Menos de 5 km;A acompañar o llevar a alguien;Una niña o niño;;Asistir a un centro educativo (colegio, jardín infantil);;;;Muy satisfecho;La comodidad (confort);El tiempo de viaje;La exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de espera largos o inciertos;Tiempos de viaje largos o inciertos;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Bicicleta;;Inseguridad;;Nada influyente;Nada influyente;No;Si;No;No;Si;No;No;No;;Otro;;Bus;No tomó ninguna acción;;;No;Mujer;No;62.959.108;-755.552.421;1.540.400.024;3.871
269;5.166.263.292;Presencial en hogares;Femenino;Si;55;55 - 64 años;No;Si;Si;Si;Caldas;Aránzazu;;;No sabe/ No responde;Si;Básica primaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Sola(o);Estrato 2;Entre 100 y 300 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;No;No;0;;0;;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;10;;;;;;Medellín;Comuna 2 - Santa Cruz;Medellín;Comuna 4 - Aranjuez;;Dos;Menos de 5 km;A acompañar o llevar a alguien;A una persona con alguna discapacidad;;Otro asunto;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;Las condiciones de incomodidad;Tiempos de espera largos o inciertos;Tiempos de viaje largos o inciertos;;Muy importante;Muy importante;4;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Taxi;;Costos asociados;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Moto 2T;;Falta de información;;Nada influyente;Nada influyente;No;No;No;Si;No;No;No;No;;En el metro;;;No tomó ninguna acción;;;No;Mujer;No;62.958.806;-755.551.328;1540.5;4.787
270;5.166.263.292;Presencial en hogares;Femenino;Si;53;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con su pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Metro;;;;;;;;;;;;15;5;15;10;;Medellín;Comuna 2 - Santa Cruz;Medellín;Comuna 4 - Aranjuez;;Uno;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;El tiempo de viaje;El costo (sus posibilidades económicas o capacidad adquisitiva);Las condiciones de incomodidad;Congestión de tráfico;Multitud de personas;;Muy importante;Muy importante;Muy importante;Muy importante;3;Muy importante;Nada Importante;Muy importante;Muy importante;Automóvil;;Otra razón ¿Cuál?;Por la economía;Incineración de residuos;Moderado;Otro;Carros de la basura;Metro;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;Nada influyente;No;No;No;Si;No;No;Si;No;;Otro;;Bus;No tomó ninguna acción;;;No;Mujer;No;6.295.549;-755.549.133;1552.5;4.27
271;5.166.263.292;Presencial en hogares;Femenino;Si;70;65 - 80 años;No;Si;Si;Si;Tolima;Fresno;;;Indígena;Si;Básica primaria completa;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;Si;Una mujer de la familia que vive con usted;Dificultad para ver, aún utilizando lentes;;No;No;0;;0;;Metro;;;;;;;;;;;;7;6;15;10;;Medellín;Comuna 2 - Santa Cruz;Medellín;Comuna 14 - El Poblado;;Uno;Entre 6 y 10 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;La comodidad (confort);El costo (sus posibilidades económicas o capacidad adquisitiva);Las condiciones de incomodidad;Tiempos de viaje largos o inciertos;Congestión de tráfico;;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Otra razón ¿Cuál?;Por economía;Empresas manufactureras;Bajo;Bus, colectivo, busetas;;Metro;;Falta de información;;Nada influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.957.643;-755.561.167;1.528.800.049;4.457
272;4.803.794.568;Presencial en hogares;Femenino;Si;59;55 - 64 años;No;Si;Si;Si;Antioquia;El Santuario;;;No sabe/ No responde;Si;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;15;15;30;30;;Medellín;Comuna 9 - Buenos Aires;Medellín;No sabe. ¿A dónde se dirige?;Itagüí;Uno;Entre 11 y 15 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);Restricciones de circulación (Ejemplo: pico y placa);El tiempo de espera;Congestión de tráfico;;;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Metro;;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Bajo;Bus, colectivo, busetas;;Caminata;;Falta de información;;3;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Prefiere no responder;Prefiere no responder;62.350.791;-755.564.186;1.655.871;4.213
273;4.803.794.568;Presencial en hogares;Femenino;Si;68;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;No sabe/ No responde;No;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2018;Otro municipio del área metropolitana;Acompañante (pasajero o parrilero);Algunas veces;1;20;;;;;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 9 - Buenos Aires;;Uno;Menos de 5 km;A visitar a alguien (familiar o amigo);;;;;;;Satisfecho;La comodidad (confort);El tiempo de viaje;La exposición a condiciones climáticas desfavorables (lluvia o calor);Ser víctima de robo o atraco;Dificultad para encontrar parqueadero;;3;Muy importante;Muy importante;Muy importante;4;4;2;3;4;Automóvil;;Costos asociados;;Uso de aerosoles y productos químicos;Nulo;Bus, colectivo, busetas;;Metro;;Inseguridad;;3;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;Prefiere no responder;62.345.994;-75.556.971;1.655.871;1.443
274;4.803.794.568;Presencial en hogares;Femenino;Si;66;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;No sabe/ No responde;No;Técnico profesional;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;2;15;20;5;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;A realizar compras;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);El tiempo de viaje;Congestión de tráfico;Multitud de personas;;4;3;Muy importante;Muy importante;2;Nada Importante;Nada Importante;3;4;Caminata;;Razones de salud;;Los vehículos que circulan en la ciudad;Muy alto;Camión pesado;;Bicicleta;;Inclinación del terreno;;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.499.459;-755.461.755;1.708.099.976;60
275;5.702.524.721.999.990;Presencial en hogares;Masculino;Si;31;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;Si;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;1;0;Metro;;;;;;;;;;;;30;15;60;20;;Medellín;Comuna 9 - Buenos Aires;Otro municipio;No sabe. ¿A dónde se dirige?;San Cristóbal;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La percepción de seguridad;El costo de compra;Tiempos de espera largos o inciertos;Tiempos de viaje largos o inciertos;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Muy alto;Bus, colectivo, busetas;;Bicicleta eléctrica;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;Muy influyente;No;No;No;Si;No;No;Si;No;;En el metro;;;Se bajó del modo de transporte;;;Si;Hombre;No;6.236.334;-755.582.903;1620.82;1.522
276;4.803.794.568;Presencial en hogares;Femenino;Si;80;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;No;;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);Dificultad temporal para moverse;No;No;0;;0;;Taxi;;;;;;;;;;;20;;;;;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;La percepción de seguridad;La comodidad (confort);Nada me disgusta;Congestión de tráfico;Ser víctima de robo o atraco;;4;3;Muy importante;Muy importante;Muy importante;4;2;4;Muy importante;Automóvil;;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Muy alto;Bus, colectivo, busetas;;Metro;;Inseguridad;;2;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.367.179;-755.586.386;1.604.525;3.762
277;4.803.794.568;Presencial en hogares;Femenino;Si;63;55 - 64 años;No;Si;Si;Si;Chocó;Tado;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Básica primaria completa;No;Es pensionado(a);;;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 3;Entre 100 y 300 mil pesos;Si;Una mujer de la familia que vive con usted;Ninguna dificultad;;No;No;1;0;0;;Taxi;;;;;;;;;;;20;;;;;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;La comodidad (confort);Condiciones de salud propias o de un familiar;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;Muy importante;4;4;Muy importante;Muy importante;Muy importante;Muy importante;3;4;Taxi;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Bicicleta;;Inseguridad;;2;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.369.878;-755.587.869;1.604.525;2.883
278;39.958.425.150.000.000;Presencial en hogares;Masculino;Si;50;45 - 54 años;No;Si;Si;Si;Sucre;Sincé;;;Ninguna de las anteriores;Si;Preescolar;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o);Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;No;0;;0;;Metro;;;;;;;;;;;;5;25;90;25;;Medellín;Comuna 7 - Robledo;Girardota;Comuna 3 - Manrique;;Uno;Más de 20 km;Ir a trabajar;;;;;;;Muy satisfecho;La comodidad (confort);El tiempo de viaje;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Congestión de tráfico;;;Muy importante;3;Muy importante;Muy importante;Muy importante;4;4;Muy importante;Muy importante;Bus, colectivo, busetas;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Alto;Automóviles de plataformas y taxis;;Bicicleta;;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy influyente;Muy influyente;No;No;No;No;No;No;Si;No;;En el metro;;;No tomó ninguna acción;;;Si;Hombre;No;62.874.795;-755.856.963;0;100
279;39.958.425.150.000.000;Presencial en hogares;Masculino;Si;70;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Básica primaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o);Estrato 2;Entre 100 y 300 mil pesos;No;;Dificultad para oír, aún utilizando aparatos especiales;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;3;15;60;60;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 10 - La Candelaria;;Dos;Menos de 5 km;A realizar actividades físicas y/o deportivas (ir al gym, trotar, entrenar);;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Las condiciones de incomodidad;Tiempos de espera largos o inciertos;;;Muy importante;4;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 2T;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Bicicleta;;Falta de infraestructura (andenes, ciclorutas, etc.);;3;Muy influyente;Si;No;No;No;No;No;Si;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Hombre;No;62.881.611;-755.915.398;1.766.699.951;11.53
280;39.958.425.150.000.000;Presencial en hogares;Masculino;Si;42;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o);Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;5;10;30;2;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 7 - Robledo;;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;La comodidad (confort);;El tiempo de viaje;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Bus, colectivo, busetas;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Bicicleta;;Costos altos;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.846.194;-755.865.729;1.658.900.024;15.254
281;39.958.425.150.000.000;Presencial en hogares;Masculino;Si;70;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Básica primaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;2;0;Bus, colectivo, buseta;;;;;;;;;;;;1;5;20;5;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;La percepción de seguridad;El costo (sus posibilidades económicas o capacidad adquisitiva);Nada me disgusta;Ser víctima de robo o atraco;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;4;3;Automóvil;;Nivel de inseguridad;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Metro;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;No;No;No;Si;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Hombre;No;6.283.863;-755.871.247;1657;15.582
282;7.105.671.132;Presencial en hogares;Femenino;Si;47;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Tecnológico;No;Trabajar y estudiar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Menos de 100 mil pesos;Si;Usted;Dificultad para ver, aún utilizando lentes;;No;No;1;0;0;;Taxi;;;;;;;;;;;120;;;;;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 11 - Laureles Estadio;;Dos;Entre 6 y 10 km;Ir a trabajar;;;;;;;Poco Satisfecho;La comodidad (confort);El tiempo de viaje;El tiempo de espera;Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;4;Muy importante;3;Taxi;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Muy alto;Bus, colectivo, busetas;;Bicicleta;;Inseguridad;;4;4;Si;Si;Si;Si;Si;Si;Si;No;;Mientras caminaba;;;Tomó la decisión de no volver a usar ese modo de transporte;;;No;Mujer;No;62.846.515;-755.875.256;0;100
283;39.958.425.150.000.000;Presencial en hogares;Masculino;Si;44;35 - 44 años;No;Si;Si;Si;Antioquia;Bello;;;Ninguna de las anteriores;No;Universitario;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a domingo;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;Si;Usted;Ninguna dificultad;;Sí, auto y motocicleta;Si, auto;0;;0;;Metro;;;;;;;;;;;;3;10;17;5;;Medellín;Comuna 7 - Robledo;Bello;Comuna 5 - Castilla;;Cuatro o más;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;La comodidad (confort);;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);;;4;4;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;3;Automóvil;;Razones de salud;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Metro;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;628.378;-755.870.207;1.656.474;0.987
284;7.105.671.132;Presencial en hogares;Femenino;Si;66;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Básica primaria completa;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;0;;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;30;;;;;;Medellín;Comuna 7 - Robledo;Bello;No sabe. ¿A dónde se dirige?;Bello;No salgo del hogar con frecuencia;Entre 11 y 15 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;La distancia que debe recorrer;;Nada me disgusta;Multitud de personas;;;Muy importante;Muy importante;Muy importante;Muy importante;3;3;3;Muy importante;3;Automóvil;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Metro;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;62.824.316;-755.889.808;0;100
285;492.021.337.125;Presencial en hogares;Masculino;Si;44;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria incompleta;Si;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;;;;;Sola(o);Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;No;1;0;1;0;Moto 4T;;125 cc;;Gasolina corriente;;No sabe / No responde - NO LEA;Medellín;Conductor;Siempre;1;5;;;;;;Medellín;Comuna 3 - Manrique;Medellín;Comuna 3 - Manrique;;Uno;Menos de 5 km;A realizar compras;;;;;;;Nada Satisfecho;La comodidad (confort);;El tiempo de viaje;Dificultad para encontrar parqueadero;;;Nada Importante;Nada Importante;2;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Alto;Camión pesado;;Moto 4T;;Inseguridad;;Nada influyente;Muy influyente;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No;No;;;;;;;;No;Hombre;Prefiere no responder;62.875.867;-75.547.465;1592;79.5
286;492.021.337.125;Presencial en hogares;Masculino;Si;24;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a domingo;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;1;1;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2025;Otro municipio del área metropolitana;Conductor;Nunca;;40;;;;;;Medellín;Comuna 3 - Manrique;Itagüí;Comuna 1 - Popular;;Cuatro o más;Entre 16 y 20 km;Ir a trabajar;;;;;;;Muy satisfecho;La comodidad (confort);;La exposición a condiciones climáticas desfavorables (lluvia o calor);Otro;;Todas;2;Nada Importante;3;2;Muy importante;Muy importante;4;3;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Otro;Alto;Otro;Tractores;Bicicleta;;Inseguridad;;Nada influyente;Muy influyente;No sabe;No sabe;No sabe;Si;No sabe;No sabe;No sabe;No;;En el metro;;;No tomó ninguna acción;;;No;Hombre;No;62.876.287;-755.472.801;1.738.699.951;16.682
287;39.958.425.150.000.000;Presencial en hogares;Masculino;Si;38;35 - 44 años;No;Si;Si;Si;Sucre;Sincelejo;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a viernes;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;1;1;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2014;Otro municipio del área metropolitana;Conductor;Nunca;;40;;;;;;Medellín;Comuna 7 - Robledo;Envigado;Comuna 7 - Robledo;;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);La vulnerabilidad frente accidentes de tránsito;Costos altos;;;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;2;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Metro;;Inseguridad;;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.919.133;-755.909.924;1819.5;12.65
